Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
12170240, 11139761, 4086063, 41243546, 17587165, 38508189, 17587165
12216320, 11179986, 4101515, 41263106, 17587165, 38789024, 17587165
12262400, 11219542, 4116967, 41269685, 17587165, 38812036, 17587165
12308480, 11259097, 4132419, 41276301, 17587165, 38824753, 17587165
12354560, 11298653, 4147872, 41288984, 17587165, 38827191, 17587165
12400640, 11339549, 4163324, 41295685, 17587165, 38831226, 17587165
12446720, 11379774, 4178776, 41361433, 17587165, 38768634, 17587165
12492800, 11419330, 4194228, 41376998, 17587165, 38770915, 17587165
12538880, 11459890, 4209680, 41383765, 17587165, 38774866, 17587165
12584960, 11500116, 4225132, 41390286, 17587165, 38779151, 17587165
12631040, 11540357, 4240600, 41420163, 17587165, 38771728, 17587165
12677120, 11580247, 4256052, 41426317, 17587165, 38776822, 17587165
12723200, 11619803, 4271504, 41432590, 17587165, 38781451, 17587165
12769280, 11660363, 4286956, 41441716, 17587165, 38995597, 17587165
12815360, 11700254, 4302408, 41447941, 17587165, 39000178, 17587165
12861440, 11739810, 4317861, 41492739, 17587165, 38983924, 17587165
12907520, 11779030, 4333313, 41510020, 17587165, 38984917, 17587165
12953600, 11818251, 4348765, 41516205, 17587165, 38989881, 17587165
12999680, 11857471, 4364217, 41522209, 17587165, 38994398, 17587165
13045760, 11896692, 4379669, 41528666, 17587165, 38998619, 17587165
13091840, 11936248, 4395121, 41535366, 17587165, 39002499, 17587165
13137920, 11975468, 4410574, 41562534, 17587165, 39006648, 17587165
13184000, 12014689, 4426026, 41568207, 17587165, 39011883, 17587165
13230080, 12054594, 4441493, 41576601, 17587165, 39209041, 17587165
13276160, 12093815, 4456945, 41583589, 17587165, 39213302, 17587165
13322240, 12133036, 4472398, 41590231, 17587165, 39217097, 17587165
13368320, 12173261, 4487850, 41596833, 17587165, 39220891, 17587165
13414400, 12213152, 4503302, 41604117, 17587165, 39224768, 17587165
13460480, 12252707, 4518754, 41618191, 17587165, 39226001, 17587165
13506560, 12292933, 4534206, 41614473, 17587165, 39233720, 17587165
13552640, 12332824, 4549658, 41600637, 17587165, 39237838, 17587165
13598720, 12373049, 4565111, 41606505, 17587165, 39242054, 17587165
13644800, 12413945, 4580563, 41612750, 17587165, 39246059, 17587165
13690880, 12455510, 4596015, 41618097, 17587165, 39250330, 17587165
13736960, 12495401, 4611467, 41624622, 17587165, 39254627, 17587165
13783040, 12535307, 4626935, 41630907, 17587165, 39258672, 17587165
13829120, 12575197, 4642387, 41637030, 17587165, 39263147, 17587165
13875200, 12614753, 4657839, 41642959, 17587165, 39268012, 17587165
13921280, 12654308, 4673291, 41648934, 17587165, 39272339, 17587165
13967360, 12694534, 4688743, 41656073, 17587165, 39276666, 17587165
14013440, 12734425, 4704195, 41663558, 17587165, 39280751, 17587165
14059520, 12774650, 4719648, 41670345, 17587165, 39285310, 17587165
14105600, 12816216, 4735100, 41677023, 17587165, 39289168, 17587165
14151680, 12856776, 4750552, 41683982, 17587165, 39293311, 17587165
14197760, 12898007, 4766004, 41690889, 17587165, 39296810, 17587165
14243840, 12940578, 4781456, 42197832, 17587165, 38903557, 17587165
14289920, 12985493, 4796908, 42227473, 17587165, 38907480, 17587165
14336000, 13031079, 4812360, 41083137, 17587165, 42326509, 17587165
14382080, 13075674, 4827828, 41092171, 17587165, 42336701, 17587165
14428160, 13118915, 4843280, 41101141, 17587165, 42346220, 17587165
14474240, 13162156, 4858732, 41146826, 17587165, 42352024, 17587165
14520320, 13205396, 4874184, 41155860, 17587165, 42361607, 17587165
14566400, 13248972, 4889637, 41189440, 17587165, 42369389, 17587165
14612480, 13292212, 4905089, 41198853, 17587165, 42378906, 17587165
14658560, 13337128, 4920541, 41208922, 17587165, 42386920, 17587165
